"C:\Program Files\Java\jdk-10.0.2\bin\java.exe" "-javaagent:C:\Program Files\JetBrains\IntelliJ IDEA 2019.3.1\lib\idea_rt.jar=49996:C:\Program Files\JetBrains\IntelliJ IDEA 2019.3.1\bin" -Dfile.encoding=UTF-8 -classpath "C:\Users\perni\OneDrive\Documents\DataIng\2. Klasse\Vår\Kjemi\Assignment\out\production\Assignment" Element
Emperical density: H: 1.539957764566285E-5


Difference between stated density and empirical:
H: 7.448042235433715E-5


Difference between stated density and calculated:
H: 8.826377720726853E-5

Distance between atoms in H 2.6505411969709077E-7

Calculated density: He: 3.207513553856636E-5
Emperical density: He: 5.529805340448093E-7


Difference between stated density and empirical:
He: 1.7794701946595518E-4


Difference between stated density and calculated:
He: 1.4642486446143365E-4

Distance between atoms in He 3.339266553128879E-7

Calculated density: Li: 3.55782040566134E-7
Emperical density: Li: 5.435373947275471E-7


Difference between stated density and empirical:
Li: 0.5339994564626053


Difference between stated density and calculated:
Li: 0.5339996442179594

Distance between atoms in Li 2.784261596722892E-8

Calculated density: Be: 1.5313982404786357E-6
Emperical density: Be: 1.8585502794075531E-6


Difference between stated density and empirical:
Be: 1.8499981414497206


Difference between stated density and calculated:
Be: 1.8499984686017596

Distance between atoms in Be 2.00741026406409E-8

Calculated density: B: 3.9193992049386575E-6
Emperical density: B: 4.202623463708073E-6


Difference between stated density and empirical:
B: 2.339995797376536


Difference between stated density and calculated:
B: 2.339996080600795

Distance between atoms in B 1.9722703518317326E-8

Calculated density: C: 9.533564342990132E-6
Emperical density: C: 8.359601785687292E-6


Difference between stated density and empirical:
C: 3.5129916403982144


Difference between stated density and calculated:
C: 3.512990466435657

Distance between atoms in C 1.7839383148469654E-8

Calculated density: N: 1.9040709913150713E-5
Emperical density: N: 1.2176070321740103E-5


Difference between stated density and empirical:
N: 2.266987823929678


Difference between stated density and calculated:
N: 2.2669809592900867

Distance between atoms in N 2.172924040105958E-8

Calculated density: O: 3.45375379300194E-5
Emperical density: O: 1.768321942016993E-5


Difference between stated density and empirical:
O: 0.00123291678057983


Difference between stated density and calculated:
O: 0.0012160624620699805

Distance between atoms in O 2.7695647441042863E-7

Calculated density: F: 6.12181987130925E-5
Emperical density: F: 3.628427125004478E-5


Difference between stated density and empirical:
F: 0.0013927157287499552


Difference between stated density and calculated:
F: 0.0013677818012869075

Distance between atoms in F 2.805291726504966E-7

Calculated density: Ne: 8.779611655611752E-5
Emperical density: Ne: 1.1761593036297073E-6


Difference between stated density and empirical:
Ne: 0.0016948238406963704


Difference between stated density and calculated:
Ne: 0.0016082038834438826

Distance between atoms in Ne 2.703414989186262E-7

Calculated density: Na: 8.001729979296719E-7
Emperical density: Na: 9.410813773661899E-7


Difference between stated density and empirical:
Na: 8.989589186226338E-4


Difference between stated density and calculated:
Na: 8.990998270020703E-4

Distance between atoms in Na 3.4876223157653996E-7

Calculated density: Mg: 1.9032814261422033E-6
Emperical density: Mg: 1.7192270630437848E-6


Difference between stated density and empirical:
Mg: 0.9709982807729369


Difference between stated density and calculated:
Mg: 0.9709980967185738

Distance between atoms in Mg 3.46397890817117E-8

Calculated density: Al: 3.920409733681974E-6
Emperical density: Al: 3.2979756265220924E-6


Difference between stated density and empirical:
Al: 1.7379967020243734


Difference between stated density and calculated:
Al: 1.7379960795902663

Distance between atoms in Al 2.9540774704929486E-8

Calculated density: Si: 4.902579154253699E-6
Emperical density: Si: 5.037505057333689E-6


Difference between stated density and empirical:
Si: 2.6979949624949424


Difference between stated density and calculated:
Si: 2.6979950974208458

Distance between atoms in Si 2.5856109596397147E-8

Calculated density: P: 7.856473561727705E-6
Emperical density: P: 7.394450064509623E-6


Difference between stated density and empirical:
P: 2.3295926055499354


Difference between stated density and calculated:
P: 2.329592143526438

Distance between atoms in P 2.8053527981413655E-8

Calculated density: S: 7.654954875362436E-6
Emperical density: S: 7.654954875362436E-6


Difference between stated density and empirical:
S: 1.8199923450451247


Difference between stated density and calculated:
S: 1.8199923450451247

Distance between atoms in S 3.081317092749874E-8

Calculated density: Cl: 1.7166553348022064E-5
Emperical density: Cl: 8.46378029615545E-6


Difference between stated density and empirical:
Cl: 2.066991536219704


Difference between stated density and calculated:
Cl: 2.066982833446652

Distance between atoms in Cl 3.0538939085133346E-8

Calculated density: Ar: 2.6079197250810336E-5
Emperical density: Ar: 2.6079197250810336E-5


Difference between stated density and empirical:
Ar: 0.0031879208027491895


Difference between stated density and calculated:
Ar: 0.0031879208027491895

Distance between atoms in Ar 2.723456432831621E-7

Calculated density: K: 6.646417389110232E-7
Emperical density: K: 8.956501220841993E-7


Difference between stated density and empirical:
K: 0.001782804349877916


Difference between stated density and calculated:
K: 0.001783035358261089

Distance between atoms in K 3.3379065488529927E-7

Calculated density: Ca: 1.310425217171905E-6
Emperical density: Ca: 1.6405894571082773E-6


Difference between stated density and empirical:
Ca: 0.8619983594105429


Difference between stated density and calculated:
Ca: 0.8619986895747828

Distance between atoms in Ca 4.258101713914037E-8

Calculated density: Sc: 1.722838697786759E-6
Emperical density: Sc: 2.620222304496437E-6


Difference between stated density and empirical:
Sc: 1.5399973797776956


Difference between stated density and calculated:
Sc: 1.5399982771613023

Distance between atoms in Sc 3.64618275034573E-8

Calculated density: Ti: 2.0960884107251714E-6
Emperical density: Ti: 4.164506010010798E-6


Difference between stated density and empirical:
Ti: 2.98899583549399


Difference between stated density and calculated:
Ti: 2.988997903911589

Distance between atoms in Ti 2.984831866254458E-8

Calculated density: V: 2.4321748222772357E-6
Emperical density: V: 4.942899883259129E-6


Difference between stated density and empirical:
V: 4.539995057100117


Difference between stated density and calculated:
V: 4.539997567825178

Distance between atoms in V 2.6510732868796723E-8

Calculated density: Cr: 2.7136753950226985E-6
Emperical density: Cr: 4.523744353043276E-6


Difference between stated density and empirical:
Cr: 6.109995476255647


Difference between stated density and calculated:
Cr: 6.109997286324606

Distance between atoms in Cr 2.4176474015631996E-8

Calculated density: Mn: 3.14272664490453E-6
Emperical density: Mn: 4.779694386069176E-6


Difference between stated density and empirical:
Mn: 7.149995220305614


Difference between stated density and calculated:
Mn: 7.149996857273355

Distance between atoms in Mn 2.336713010147292E-8

Calculated density: Fe: 3.51173625215212E-6
Emperical density: Fe: 4.858604845280737E-6


Difference between stated density and empirical:
Fe: 7.439995141395155


Difference between stated density and calculated:
Fe: 7.439996488263748

Distance between atoms in Fe 2.3185700884681074E-8

Calculated density: Co: 3.989972431666188E-6
Emperical density: Co: 5.695073761237525E-6


Difference between stated density and empirical:
Co: 7.873994304926239


Difference between stated density and calculated:
Co: 7.873996010027568

Distance between atoms in Co 2.313206451018195E-8

Calculated density: Ni: 4.253168697079347E-6
Emperical density: Ni: 5.718341772426939E-6


Difference between stated density and empirical:
Ni: 8.859994281658228


Difference between stated density and calculated:
Ni: 8.859995746831302

Distance between atoms in Ni 2.227025601116038E-8

Calculated density: Cu: 4.976174511649144E-6
Emperical density: Cu: 6.1659259342890305E-6


Difference between stated density and empirical:
Cu: 8.911993834074066


Difference between stated density and calculated:
Cu: 8.911995023825488

Distance between atoms in Cu 2.2792263432360534E-8

Calculated density: Zn: 5.452023196118782E-6
Emperical density: Zn: 6.3448509244194705E-6


Difference between stated density and empirical:
Zn: 8.959993655149077


Difference between stated density and calculated:
Zn: 8.959994547976805

Distance between atoms in Zn 2.2969465265021688E-8

Calculated density: Ga: 6.617146213566975E-6
Emperical density: Ga: 7.576304117339248E-6


Difference between stated density and empirical:
Ga: 7.133992423695883


Difference between stated density and calculated:
Ga: 7.133993382853787

Distance between atoms in Ga 2.5318079659442947E-8

Calculated density: Ge: 8.878859570837973E-6
Emperical density: Ge: 8.878859570837973E-6


Difference between stated density and empirical:
Ge: 5.906991121140429


Difference between stated density and calculated:
Ge: 5.906991121140429

Distance between atoms in Ge 2.733292206570344E-8

Calculated density: As: 1.2072685304338326E-5
Emperical density: As: 1.1760476355078898E-5


Difference between stated density and empirical:
As: 5.322988239523645


Difference between stated density and calculated:
As: 5.3229879273146965

Distance between atoms in As 2.8591260363306726E-8

Calculated density: Se: 1.7250705308648988E-5
Emperical density: Se: 1.2394385771219912E-5


Difference between stated density and empirical:
Se: 5.775987605614229


Difference between stated density and calculated:
Se: 5.775982749294691

Distance between atoms in Se 2.8314556252020975E-8

Calculated density: Br: 2.2966581175681456E-5
Emperical density: Br: 1.2542565864533383E-5


Difference between stated density and empirical:
Br: 4.808987457434136


Difference between stated density and calculated:
Br: 4.808977033418825

Distance between atoms in Br 3.02172094993019E-8

Calculated density: Kr: 2.9356710688995655E-5
Emperical density: Kr: -1.0


Difference between stated density and empirical:
Kr: -1.0


Difference between stated density and calculated:
Kr: 3.121970643289311

Distance between atoms in Kr -1.0

Calculated density: Rb: 1.0964183463011338E-6
Emperical density: Rb: 1.5722091843066941E-6


Difference between stated density and empirical:
Rb: 0.0037314277908156936


